EventsPK	IncidentID	Event_Year	Event_Month	Event_Day	Event_Hour	Event_Minute	EventBegin_Year	EventBegin_Month	EventBegin_Day	EventBegin_Hour	EventBegin_Minute	EventEnd_Year	EventEnd_Month	EventEnd_Day	EventEnd_Hour	EventEnd_Minute	IncidentDescription	IncidentDescriptionTracking	Location_Country	Location_Province	Location_City	Leftist_Organization	Rightist_Organization	Religious_Organization	Ethnic_Organization	Separatist_Organization	Environmentalist_Organization	Supremacist_Organization	Anarchist_Organization	Antiglobalization_Organization	Vigilante_Organization	Criminal_Organization	NoPerpetrators	Emigre	Perpetrators_Primary	Perpetrators_Secondary	EventTypeID	WeaponTypeID1	WeaponTypeID2	WeaponSubTypeID1	WeaponSubTypeID2	TargetID1	TargetID2	TargetID3	TargetSubTypeID1	TargetSubTypeID2	TargetSubTypeID3	CanadianTarget	SuicideAttack	Fatalities	Injuries	PerpetratorFatalities	PerpetratorInjuries	IncidentSuccessful	Hoax	CanadianVictim	CanadianPerpetrator	ViolentExtremism	DoubtTerror	Alternative	Latitude	Longitude	OriginalSource	Reference1	Reference2	Reference3	Reference4	Reference5	Reference6	Reference7
13104	19600127020321001	1960	1	27													"01/27/1960: Employees of the West Kootenay Light and Power Co. discovered a power pole a quarter mile West of Glade that had been blasted at its base by an explosive charge. Investigations found that the blast occurred shortly after midnight, on the morning of the 27th. The bomb had an electronic detonator."	0	Canada	British Columbia	Glade	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Utilities			Electrical transformers/substations/ power lines			Yes	No	0	0	0	0	Yes	No	-99	-99		No				CP Chronology	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 195."							
13103	19600127020313001	1960	1	27	2	45				2	45						"01/27/1960: A bomb, probably comprising only one stick of dynamite, a watch timer, and an electric detonator, was planted by the door leading to the coal storage room of the RCMP's Nelson office. It exploded at 2:45 a.m., blowing out five of the building's windows and tearing off the door to the storage room. The office was unoccupied at the time, and no damage was done to the interior of the building. This was reported to be the first Sons of Freedom (SOF) action directed at a police target since 1924. A SOF man was sentenced to ten years for possessing explosives without lawful excuse in relation to the bombing, and his partner was sentenced to six years and four years for illegal possession of dynamite."	0	Canada	British Columbia	Nelson	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	2	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Police			Police Buildings (Headquarters/Stations/School)			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Ross/Cran; CP Chronology; Holt, 1964: 156, 293; Globe and Mail, 28 Jan 1960, 2; Vancouver Sun, 27 Jan 1960, 1; Vancouver Sun, 27 Feb 1962, 1, 2; The Province, 28 Jan 1960, 15; The Province, 28 Jan 1960, 2, 15"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 195."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 2"						
13105	19600305020302001	1960	3	5													"03/05/1960: Employees of Oglow Brothers Building and Supply Co. found what they believed to be an explosive device in a company lumber shed. A search by RCMP revealed a main charge of three sticks of dynamite, an alarm clock timer, and a battery power source complete with an electronic detonator. The device was defused and disposed of by police personnel."	0	Canada	British Columbia	Castlegar	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Business			Construction			Yes	No	0	0	0	0	No	No	-99	-99		No				CP Chronology; Ross/Cran	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 195."							
13106	19600402020302001	1960	4	2	3	0				3	0						"04/02/1960: A time bomb, comprising six sticks of dynamite with a pocket watch timer and hidden in a rack of coats in West's Department Store, went off at approximately 3 a.m., shattering eight display windows 20 metres away, hurling a 200 kilogram counter across the store, ripping clothing, knocking items from-shelves and igniting a small fire. The damage to the store and merchandise was estimated between $4,000 and $6,000. The bomb had been left in the pocket of a coat on display before the store closed at 9:00 p.m. Friday (April 1). This action came shortly after two unexploded bombs had been found in the Kootenays, one having been placed inside a Castlegar business premise, and the other on the porch of a private residence in Nelson."	0	Canada	British Columbia	Castlegar	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Business			Retail/Grocery/Bakery (including cell phone shops and generic shops)			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Ross/Cran; CP Chronology; Vancouver Sun, 2 Apr 1960, 1; The Province, 4 Apr 1960, 1; Cran Chronology; The Province, 4 Apr 1960, 1"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 195."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 2"						
13107	19600501020715001	1960	5	1													"05/01/1960: A Doukhobor community hall in Krestova was destroyed by fire. No one was charged in connection with the offence, however the act was typical of those of the Sons of Freedom against Community Doukhobors who did not subscribe to the Freedomite vision."	0	Canada	British Columbia	Krestova	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Facility/Infrastructure Attack	Incendiary		Arson/Fire		Religious Figures/Institutions			Affiliated Institutions			Yes	No	0	0	0	0	Yes	No	-99	-99		No				CP Chronology	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 196."							
13108	19600506020302001	1960	5	6													"05/06/1960: A bomb damaged shelves and counters at the Eaton department store in Trail, British Columbia. Sons of Freedom were blamed. On June 2, 1961, the RCMP issued a warning to be on the lookout for parcels that might contain terrorist bombs targeting department stores in the Kootenays."	0	Canada	British Columbia	Trail	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Business			Retail/Grocery/Bakery (including cell phone shops and generic shops)			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Vancouver Sun, 3 June 1961, 54"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 2"							
13109	19600530020302001	1960	5	30													"05/30/1960: A Doukhobor Goloff planer (lumber) mill was destroyed when a time bomb exploded in the afternoon. The explosion caused $7,500 worth of damage. Sons of Freedom (SOF) were the suspected source of the bomb."	0	Canada	British Columbia	Brilliant	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Business			Industrial/Textiles/Factories			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Ross/Cran; CP Chronology; The Province, 1 June 1960; The Province, 1 June 1960"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 196."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 2"						
13110	19600624020702001	1960	6	24													"06/24/1960: A fire destroyed barns, garages, farm implements, a vehicle, storage sheds, and other property in the east end of the village. A smouldering wick was found in a building in the west section of Glade. Damage was estimated at $15,000."	0	Canada	British Columbia	Glade	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Facility/Infrastructure Attack	Incendiary		Arson/Fire		Business			Farm/Ranch			Yes	No	0	0	0	0	Yes	No	-99	-99		No				CP Chronology	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 196."							
13111	19600702020715001	1960	7	2	4	30				4	30						"07/02/1960: An Orthodox Doukhobor Community Hall in Grand Forks was set on fire, causing $7,000 damage; the arson occurred between 4:30 a.m. and 5:15 a.m. Townspeople responded to the fire and extinguished it before the building was razed."	0	Canada	British Columbia	Grand Forks	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Facility/Infrastructure Attack	Incendiary		Arson/Fire		Religious Figures/Institutions			Affiliated Institutions			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Ross/Cran; The Province, 4 July 1960, 17; CP Chronology; The Province, 4 July 1960, 17; CP. ""Doukhobor Hall Set Afire"" Daily Colonist, 3 July 1960, 1"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 197."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 2"						
13112	19600825020319001	1960	8	25													08/25/1960: A section of Canadian Pacific Railway track near Thrums was bombed by Sons of Freedom (SOF); pieces of the timing device (including a watch) were found at the scene by police. Damage was estimated at $326. Three members of SOF were convicted for the offence and received jail terms ranging from 6 to 12 years.	0	Canada	British Columbia	Thrums	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	3	0	Sons of Freedom (SOF)		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Transportation (Other than aviation)			Train/Train Tracks/ Trolley			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"CP Chronology; Ross/Cran; Holt, 1964: 156; Vancouver Sun, 19 Dec 1961, 31; Vancouver Sun, 21 Apr 1962, 8; WM No3, 19,65,10-13"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 197"							
